CAL,CNC,GR,HRD,HRM,PE,ZDEN,DTC
11.7685,0.5646,44.4152,1.5241,1.3788,11.4374,2.2632,119.0983
11.7525,0.5289,42.5178,1.5359,1.3697,9.9992,2.2113,118.2933
11.7395,0.462,53.5836,1.3091,1.3892,5.5845,2.1743,122.2446
11.7276,0.4496,54.5189,1.3589,1.3551,5.3454,2.1687,124.2861
11.7084,0.4547,53.2812,1.4602,1.3399,5.2819,2.1669,125.9754
11.6321,0.4537,55.9192,1.3437,1.4474,5.7903,2.1072,127.5342
11.575999999999999,0.4083,59.4444,1.3402,1.3608,6.7095,2.124,125.1935
11.5702,0.4192,60.1107,1.354,1.3448,6.8424,2.1176,124.8961
11.5642,0.4446,61.7528,1.3698,1.3473,6.4793,2.1111,124.772
11.5339,0.41,58.0621,1.3905,1.3386,6.9467,2.1057,124.6681
11.5471,0.4386,56.6292,1.3668,1.3269,6.9408,2.1212,124.6596
11.5481,0.4297,58.2195,1.3465,1.3444,5.8287,2.1076,124.6923
11.544,0.4588,63.4143,1.3342,1.3995,5.5064,2.1005,124.6288
11.5531,0.451,66.6895,1.3203,1.3983,5.3632,2.0913,124.7291
11.537,0.4238,63.9903,1.3041,1.3836,5.4019,2.09,125.11
11.5442,0.4148,63.245,1.2886,1.3849,5.559,2.0926,125.7056
11.5277,0.4438,61.1824,1.2823,1.3921,5.9670000000000005,2.092,126.1795
11.5451,0.4918,59.9272,1.2847,1.3937,5.9932,2.0951,126.3009
11.5302,0.4919,61.9808,1.2989,1.3927,5.9189,2.1048,126.2105
11.5371,0.4682,61.4199,1.32,1.383,6.1528,2.1235,125.9849
11.545,0.435,60.7846,1.3208,1.3773,6.2163,2.1252,125.7178
11.5408,0.4502,61.6894,1.2961,1.3769999999999998,6.0021,2.1084,125.3515
11.5793,0.4691,59.523999999999994,1.2875,1.3686,5.6547,2.1264,125.0458
11.5873,0.5138,62.0682,1.2805,1.3703,5.9824,2.1876,124.8002
11.6234,0.4533,56.1495,1.2857,1.3678,8.4559,2.2069,124.4159
11.6683,0.4526,59.2013,1.3,1.361,8.3214,2.1979,124.3394
11.6893,0.4731,57.9258,1.2873,1.3517,7.1821,2.1953,124.3455
11.7295,0.4555,57.7752,1.2762,1.3434,6.8699,2.1704,124.3541
11.7423,0.4893,59.9084,1.2838,1.3639,6.9291,2.1343,124.3582
11.7694,0.5174,58.0434,1.2999,1.3685,6.5525,2.1112,124.4745
11.8167,0.4718,55.4797,1.2783,1.3301,5.9932,2.1158,124.8901
11.8316,0.4681,53.7257,1.2708,1.3494,5.9015,2.1386,125.6852
11.8196,0.4951,57.0403,1.2823,1.3579,6.6814,2.1525,126.7184
11.8196,0.4849,60.0624,1.3045,1.355,9.1281,2.16,127.6275
11.8044,0.4687,58.7268,1.3088,1.3530000000000002,12.1827,2.1881,128.2506
11.8096,0.5035,55.7274,1.2879,1.3485,11.1965,2.1707,128.5678
11.8146,0.5644,56.826,1.272,1.3279,7.5788,2.1335,128.6577
11.8256,0.4943,59.8578,1.2409,1.3016,5.8769,2.1058,128.5419
11.8256,0.4574,61.8268,1.2176,1.2996,5.7713,2.1003,128.2542
11.8186,0.4595,61.2365,1.24,1.3144,6.1063,2.1554,127.4989
11.8146,0.5099,58.4832,1.2263,1.3205,7.1778,2.1843,127.1824
11.8126,0.5854,61.6438,1.2083,1.3195,8.2289,2.1834,126.9349
11.8167,0.5826,61.5172,1.1979,1.3181,7.7772,2.1607,126.7861
11.8176,0.5077,57.396,1.195,1.3076,7.501,2.1487,126.76299999999999
11.8266,0.4186,62.8254,1.2375,1.1782,6.0483,2.1286,126.0462
11.8347,0.4425,60.8615,1.2352,1.1862,5.7767,2.1122,125.5514
11.8336,0.4571,61.0155,1.2269,1.2357,5.5506,2.0932,125.1109
11.8377,0.4818,60.3368,1.2451,1.2716,5.3796,2.0717,124.6398
11.8306,0.4102,57.8478,1.2690000000000001,1.3617,6.5421,2.0542,123.7546
11.8488,0.4419,61.5368,1.2691,1.3880000000000001,6.2981,2.1009,123.8299
11.8528,0.4307,61.4251,1.3137,1.3729,5.7329,2.1043,124.1752
11.877,0.4307,58.9516,1.3464,1.3723,6.0492,2.112,124.5168
11.8819,0.4466,58.2114,1.3258,1.374,6.3568,2.1201,124.7823
11.8818,0.4233,62.0263,1.2984,1.3671,5.4978,2.1292,124.9712
11.8697,0.44,63.7123,1.2902,1.3719999999999999,4.883,2.127,125.0901
11.8878,0.4867,64.6096,1.2901,1.3772,5.0191,2.1127,125.0664
11.8877,0.507,62.0923,1.2896,1.3767,5.2391,2.1056,124.8916
11.8957,0.5466,59.0957,1.2865,1.3728,5.3713,2.1117,124.7528
11.9018,0.5164,62.2133,1.2671,1.3316,5.4348,2.1323,125.1415
11.7644,0.4598,64.4161,1.2629,1.3228,5.0748,2.113,125.5323
11.7233,0.4377,64.8275,1.2654,1.3129,5.2279,2.1167,125.9091
11.7325,0.4181,61.8363,1.2619,1.295,5.0415,2.1233,126.1934
11.7325,0.4618,58.4749,1.2391,1.2887,4.7643,2.1099,125.9922
11.7325,0.4457,61.159,1.2634,1.29,4.7198,2.1139,127.1088
11.7376,0.484,60.2762,1.2615,1.297,4.8096,2.1065,127.3238
11.7364,0.5197,60.016999999999996,1.3288,1.3126,4.6673,2.1075,127.1686
11.6762,0.3815,56.6342,1.3815,1.3444,4.9574,2.1018,125.8697
11.6724,0.4099,58.0373,1.3551,1.3042,5.2584,2.0937,125.0966
11.6372,0.4024,58.66,1.3322,1.2793,5.2991,2.0823,123.7553
11.6253,0.3973,57.9451,1.3336,1.2756,5.318,2.0913,123.2327
11.6,0.5035,53.0771,1.2655,1.3283,5.7601,2.1029,122.7317
11.6071,0.4486,48.8991,1.2858,1.2394,5.3881,2.1229,123.1761
11.6342,0.425,53.8463,1.2731,1.2621,5.9827,2.138,124.4913
11.6321,0.4368,60.5265,1.2526,1.255,6.5821,2.1404,125.5048
11.6249,0.4507,59.8362,1.2055,1.1585,6.4396,2.1438,126.4671
11.6342,0.4615,54.9133,1.2035,1.1542,6.4288,2.1463,126.9077
11.6011,0.4726,54.5757,1.2009,1.149,6.2648,2.1422,126.6681
11.5892,0.4804,57.8146,1.1979,1.1447,5.8402,2.1319999999999997,126.0164
11.577,0.4308,58.913999999999994,1.1918,1.1379,5.4322,2.1225,125.1499
11.5731,0.3996,59.7476,1.1892,1.1339,5.3735,2.1195,125.1436
11.5188,0.4601,52.4087,1.1868,1.1318,5.74,2.1314,125.3145
11.5069,0.4818,53.9637,1.1878,1.1343,5.537000000000001,2.1208,124.9547
11.4989,0.5107,56.0835,1.1894,1.136,5.0616,2.1288,124.7023
11.5,0.6042,55.3062,1.1912,1.1373,5.4519,2.1167,124.6289
11.481,0.5565,54.0552,1.1933,1.1394,5.7709,2.1125,124.6399
11.4661,0.4979,56.6491,1.1952,1.1419,6.0161,2.1326,124.6566
11.4449,0.4738,55.8029,1.1969,1.1439,6.1157,2.1415,124.6681
11.4519,0.4342,56.653999999999996,1.1985,1.1454,6.1656,2.1347,124.6462
11.4529,0.4122,55.7673,1.2006,1.1482,6.4076,2.1209,124.6221
11.3477,0.4829,59.3677,1.2067,1.1645,6.287000000000001,2.1231,124.6698
11.3357,0.4811,58.4371,1.2088,1.1741,6.2881,2.1246,125.0476
11.3165,0.537,59.9325,1.2085,1.1772,6.0302,2.1303,125.852
11.3257,0.5239,59.9075,1.2056,1.1721,5.3353,2.1519999999999997,126.8177
11.3095,0.4647,57.7377,1.2017,1.1640000000000001,5.1771,2.1548,127.2864
11.2894,0.4555,56.7751,1.1986,1.1592,4.9823,2.1401,126.9876
11.2804,0.4526,56.4546,1.1973,1.1598,4.4104,2.1387,126.1776
11.1965,0.4215,58.4621,1.1986,1.1657,4.6821,2.0807,124.449
11.1466,0.3979,56.6294,1.1985,1.1628,4.4505,2.0736,124.2072
11.0511,0.3953,56.2182,1.1983,1.1602,4.5247,2.0828,124.131
11.0341,0.40700000000000003,54.799,1.1984,1.1597,4.8301,2.1025,124.10600000000001
10.9777,0.42700000000000005,51.9048,1.1986,1.1604,5.3862,2.1079,124.0938
10.9276,0.4406,54.2275,1.1983,1.1598,5.485,2.0905,124.1002
10.925999999999998,0.456,52.5814,1.1972,1.1565,5.5306,2.0795,124.1743
10.8675,0.4536,53.2371,1.1953,1.1519,6.36,2.1047,124.3692
10.8265,0.467,57.5919,1.1931,1.148,7.0677,2.1046,124.6547
10.8245,0.4301,59.9991,1.1908,1.1455,7.0513,2.1065,124.9042
10.6583,0.4365,57.7646,1.1816,1.1316,5.2726,2.1274,125.8233
10.5891,0.433,58.7533,1.1803,1.1319,5.4927,2.1242,126.0083
10.5479,0.4306,57.7199,1.1795,1.133,5.8268,2.1265,126.56200000000001
10.4929,0.4293,57.6593,1.1788,1.1333,5.3924,2.1286,127.3488
10.4109,0.4455,56.7812,1.178,1.133,4.8082,2.1147,127.7959
10.3737,0.5084,54.0123,1.1773,1.1328,4.605,2.1083,127.7592
10.3917,0.5209,57.5835,1.1769,1.1331,4.77,2.1139,127.5621
10.3847,0.451,59.2737,1.1768,1.1331,4.8817,2.1144,127.5047
10.3534,0.3993,56.8436,1.1772,1.1323,5.1878,2.1081,127.25200000000001
10.3567,0.3802,58.2469,1.1786,1.1319,5.5067,2.1056,126.7419
10.3287,0.3625,57.3393,1.1809,1.1344,5.2389,2.1041,126.4797
10.3166,0.3796,54.8856,1.1842,1.1399,5.2034,2.1063,126.6237
10.2985,0.3817,53.4573,1.1878,1.1452,5.4414,2.112,126.7916
10.3075,0.4107,54.7211,1.1945,1.1491,5.436,2.0951,126.9484
10.3064,0.4122,55.8946,1.1973,1.1520000000000001,4.9783,2.1028,126.9611
10.3115,0.4282,57.6134,1.1993,1.1557,4.5235,2.1176,126.9359
10.3076,0.4265,56.1451,1.1987,1.1582,4.725,2.0948,127.8423
10.3147,0.4394,55.9026,1.1953,1.155,4.953,2.0934,128.4669
10.3107,0.469,58.54,1.1902,1.1484,4.9256,2.0962,128.9236
10.3074,0.4299,57.493,1.1844,1.1399,4.703,2.1026,128.9267
10.3074,0.4349,56.754,1.175,1.1282,4.7053,2.1111,128.099
10.3055,0.4207,56.6135,1.1728,1.1273,4.8759,2.1036,127.3911
10.2977,0.4207,56.5255,1.1736,1.1297,5.1829,2.0899,125.5211
10.3326,0.4127,57.0779,1.1817,1.1366,5.5386,2.1187,122.9845
10.3616,0.4033,54.7746,1.1883,1.1434,6.1902,2.1846,122.0891
10.3907,0.4164,53.8603,1.1958,1.1534,7.7606,2.2713,122.21
10.3966,0.4242,53.751999999999995,1.2031,1.166,8.2317,2.2958,122.9052
10.4379,0.4444,56.0962,1.2089,1.1778,6.5612,2.2499,123.8824
10.4426,0.4162,60.0695,1.2117,1.1832,5.4396,2.1728,125.1605
10.4579,0.4604,67.5854,1.1995,1.1497,6.7722,2.1765,127.60799999999999
10.4628,0.4823,66.666,1.1926,1.1373,5.1929,2.1865,127.5124
10.4869,0.4827,62.7509,1.1852,1.1378,4.417,2.1576,129.186
10.4808,0.4746,60.8411,1.1879,1.1437,4.2889,2.1306,129.7115
10.4819,0.456,62.223,1.1918,1.149,4.3275,2.113,129.5938
10.478,0.4252,61.6562,1.1959,1.1537,4.5683,2.1031,128.81
10.4496,0.4113,61.1272,1.1999,1.1573,4.7002,2.0977,127.8244
10.4507,0.3971,60.9365,1.2035,1.1595,4.7381,2.0965,126.8942
10.4457,0.4186,59.5834,1.2067,1.1613,4.5976,2.0987,126.1094
10.48,0.4212,56.0724,1.2111,1.1658,4.4334,2.0903,125.3299
10.4728,0.4015,58.7172,1.2116,1.167,4.5915,2.0869999999999997,125.1528
10.4768,0.4141,63.1006,1.2109,1.1663,4.5248,2.0911,125.1243
10.485,0.4246,62.6048,1.209,1.1638,4.2622,2.0964,125.1364
10.481,0.46,59.604,1.2067,1.1601,4.4108,2.0977,125.1256
10.4777,0.4748,60.9047,1.2042,1.1563,4.4915,2.1017,125.1084
10.4829,0.4675,58.8433,1.202,1.1531,4.1193,2.1069999999999998,125.0658
10.4738,0.4676,57.4173,1.2003,1.1511,3.9189999999999996,2.1042,124.927
10.4849,0.4952,60.0759,1.1991,1.1504,4.2273,2.0884,124.7245
10.4789,0.4691,60.1258,1.1989,1.1506,4.5503,2.0781,124.4535
10.4618,0.3994,61.5544,1.2022,1.1558,4.3471,2.1023,124.1645
10.479000000000001,0.4135,63.3663,1.2054,1.1613,4.1397,2.1256,124.1621
10.4767,0.4177,60.7369,1.2091,1.1677,4.1406,2.1273,124.1909
10.4626,0.4281,57.6585,1.2127,1.1739,4.2597,2.1188,124.1806
10.4839,0.4271,56.9766,1.2156,1.1789,4.5356,2.1122,124.2822
10.4888,0.4668,59.5449,1.2189,1.18,4.9643,2.1153,124.5554
10.512,0.4398,60.3371,1.2194,1.1775,4.6461,2.1219,124.4541
10.5,0.425,63.0099,1.2191,1.1763,4.4823,2.1227,124.4532
10.5261,0.4412,60.0198,1.2166,1.1771,4.1292,2.1238,125.9661
10.4849,0.4133,61.1184,1.2144,1.1747,3.9638,2.1229,126.6242
10.487,0.444,58.5347,1.2093,1.1648,4.1001,2.1201,125.5005
10.4858,0.4347,59.4107,1.2076,1.1615,4.4259,2.1143,124.6
10.4818,0.4268,60.7686,1.2083,1.162,4.1944,2.1004,124.0235
10.4769,0.4215,60.0764,1.2153,1.173,4.2335,2.0815,124.1863
10.4619,0.4164,57.15,1.2197,1.1804,4.3061,2.0796,124.1971
10.4306,0.4148,58.6985,1.2237,1.1867,4.3304,2.0859,124.0398
10.4599,0.42100000000000004,60.3496,1.227,1.1911,4.3404,2.0964,123.7695
10.4627,0.4512,57.6342,1.2298,1.194,4.4662,2.1084,123.6412
10.4409,0.4096,56.8474,1.2338,1.1973,4.9767,2.131,124.8345
10.4348,0.4165,56.8534,1.2338,1.1947,5.6012,2.1321,126.176
10.4356,0.4522,55.6467,1.2322,1.1861,6.3687,2.13,127.3134
10.4256,0.4513,54.9373,1.2305,1.1757,7.4012,2.1616,127.6923
10.4377,0.465,50.9615,1.2307,1.1743,8.3049,2.2152,127.1899
10.4296,0.4531,49.0094,1.2334,1.1886,8.674,2.2332,126.12899999999999
10.478,0.4706,51.8039,1.2368,1.2092,8.0764,2.1744,125.0927
10.6582,0.4094,58.2137,1.2304,1.1937,6.5728,2.1106,123.8886
10.7185,0.3828,56.5247,1.2241,1.1818,6.6699,2.1087,124.244
10.8048,0.4001,61.3025,1.2179,1.1748,6.2258,2.1158,124.9288
10.8836,0.4884,61.4253,1.2058,1.1611,5.3028,2.1357,125.9743
10.979000000000001,0.4773,62.1642,1.2006,1.1522,5.4126,2.1384,125.8134
11.0944,0.452,68.9785,1.1976,1.1462,5.485,2.1428,125.4855
11.1881,0.4417,68.9602,1.1974,1.1461,5.3873,2.1517,125.2268
11.2473,0.4354,68.9602,1.1997,1.1514,5.4139,2.1643,125.0262
11.3468,0.4634,68.7245,1.2135,1.1689,4.9882,2.134,124.4428
11.3586,0.4519,66.0589,1.2144,1.1676,4.9938,2.1295,124.3547
11.3877,0.4442,62.7275,1.2142,1.1658,5.0158,2.1122,124.242
11.5461,0.4377,57.7968,1.2081,1.16,4.846,2.1025,124.2485
11.552999999999999,0.4314,57.1653,1.2026,1.1567,4.9128,2.1056,124.823
11.571,0.4346,60.7591,1.2001,1.156,4.7961,2.0947,125.4561
11.578,0.42200000000000004,62.9012,1.1981,1.1548,4.6259,2.0868,126.2632
11.5952,0.3857,62.6361,1.1967,1.1531,4.6025,2.0882,126.9719
11.6043,0.3858,60.45,1.1961,1.1517,4.5753,2.0922,127.3278
11.5921,0.4373,60.6823,1.1961,1.1508,4.6524,2.0926,127.1557
11.6122,0.488,61.5263,1.1966,1.15,4.9022,2.109,126.4467
11.5961,0.4948,62.0291,1.1979,1.1498,5.1948,2.158,125.3833
11.5892,0.4576,61.4871,1.2007,1.1531,5.3614,2.2426,124.4438
11.5861,0.439,60.0315,1.2056,1.1629,5.2978,2.316,124.0344
11.6163,0.4518,57.7966,1.2121,1.178,5.0787,2.2936,124.2857
11.6334,0.4284,57.7158,1.2186,1.192,4.7713,2.2257,125.0796
11.6252,0.4132,63.7645,1.2228,1.1982,4.6884,2.1745,126.0727
11.6181,0.4329,67.4813,1.2236,1.1946,4.8029,2.1546,126.7025
11.6085,0.4679,65.9559,1.2214,1.1854,4.792,2.1466,126.5848
11.542,0.4889,66.497,1.2178,1.1762,4.59,2.1431,125.8244
11.532,0.4631,69.2099,1.2144,1.1704,4.5179,2.1356,124.9572
11.5019,0.4299,65.7536,1.2121,1.168,4.5277,2.1259,124.3637
11.4899,0.43,58.5377,1.2109,1.1675,4.449,2.11,124.1039
11.4941,0.4481,64.0726,1.2095,1.1684,4.5728,2.0804,124.4396
11.4768,0.4522,60.7524,1.2087,1.1679,4.753,2.0837,124.9911
11.4848,0.3794,65.0274,1.2072,1.1646,4.6844,2.1022,126.2534
11.493,0.3834,62.1729,1.2067,1.1636,4.6433,2.0991,126.5659
11.497,0.4264,59.5139,1.2065,1.1632,4.6834,2.0916,126.6669
11.4797,0.4236,59.705,1.2066,1.1626,4.7046,2.0892,126.7027
11.4909,0.4204,61.722,1.2071,1.1617,4.6095,2.0997,126.88600000000001
11.499,0.4583,60.7718,1.2132,1.1673,4.6626,2.0924,127.1837
11.499,0.4194,59.7926,1.2167,1.1713,4.7302,2.0883,126.8799
11.492,0.4263,58.5215,1.2269,1.1821,5.443,2.1035,126.594
11.494000000000002,0.4396,57.3831,1.2287,1.1851,5.3852,2.1107,126.4666
11.4777,0.4261,59.7313,1.229,1.1866,4.952,2.1053,126.1299
11.5007,0.4194,62.3995,1.2274,1.1854,4.6026,2.0901,125.9562
11.5007,0.4277,61.0839,1.2242,1.1819,4.643,2.0857,126.1332
11.3256,0.4403,57.5518,1.2204,1.1776,4.985,2.1007,126.2942
11.3427,0.4549,58.541000000000004,1.2168,1.1739,5.187,2.1156,126.1245
11.3305,0.42200000000000004,62.0724,1.2142,1.1713,4.9532,2.1225,125.8395
11.3509,0.3915,66.0833,1.2131,1.1698,4.841,2.1299,125.6909
11.3589,0.3982,65.1571,1.2131,1.1693,5.0674,2.1342,125.4807
11.3516,0.4235,63.7433,1.2138,1.1693,5.4107,2.1321,124.6378
11.3405,0.4264,61.3089,1.2184,1.1727,6.0054,2.1641,120.8918
11.3379,0.447,53.5471,1.2308,1.1974,7.5111,2.2182,118.4407
11.3327,0.4255,50.5549,1.238,1.2162,7.0242,2.2053,118.7599
11.3086,0.3837,53.9487,1.2425,1.227,6.0329999999999995,2.1593,121.7541
11.3016,0.4191,62.5636,1.2303,1.1967,5.3179,2.1630000000000003,124.3106
11.3086,0.4243,63.6014,1.2222,1.1829,5.3193,2.1607,125.1083
11.2924,0.418,62.4399,1.2151,1.1740000000000002,5.2925,2.1507,125.9247
11.2836,0.4091,61.2611,1.2095,1.1683,5.3204,2.1406,126.6818
11.2465,0.3961,59.8237,1.2026,1.1607,5.5806,2.1078,127.4044
11.2223,0.4037,61.4362,1.2009,1.1582,5.6573,2.0957,127.45700000000001
11.1992,0.4272,55.4772,1.2,1.1565,5.7294,2.0914,127.4258
11.1893,0.4412,54.3167,1.1998,1.1555,5.5799,2.0921,127.2865
11.1642,0.4197,62.1887,1.1998,1.1548,5.4088,2.1083,127.0359
11.1322,0.24600000000000002,65.4619,1.1993,1.1534,5.1938,2.1196,126.8806
11.0881,0.3575,62.0857,1.1961,1.1515,5.4809,2.0982,127.6331
11.0941,0.4431,64.7912,1.19,1.1461,4.9844,2.0981,128.0124
11.079,0.431,63.6275,1.1866,1.1422,4.9145,2.0953,127.9895
11.0692,0.4368,62.082,1.1839,1.1389,5.0603,2.1021,127.9503
11.0591,0.4333,64.0409,1.1824,1.1372,4.9827,2.119,127.9617
11.0298,0.4241,65.4081,1.1821,1.1375,4.955,2.1274,127.9823
11.019,0.4207,66.0543,1.1829,1.1394,5.2709,2.1213,127.9642
11.0131,0.4214,65.0701,1.1841,1.1417,5.6392,2.1109999999999998,127.8955
10.998,0.4018,64.9971,1.1851,1.1436,5.6241,2.1061,127.7705
10.9586,0.3831,66.2193,1.1853,1.1446,5.2775,2.1008,127.6693
10.9529,0.3848,65.8299,1.1845,1.1441,5.2818,2.094,127.6625
10.9569,0.3688,67.3029,1.1824,1.1418,5.6774,2.1035,127.6436
10.9386,0.3257,62.1621,1.1753,1.1355,5.3164,2.1334,127.1071
10.9499,0.5384,65.2616,1.1712,1.1336,5.0304,2.1287,126.8525
10.9327,1.4376,65.6088,1.1672,1.1316,4.9039,2.1327,126.7249
10.8615,2.0934,66.0804,1.1605,1.1232,5.0715,2.1265,126.0215
10.8024,0.4465,62.7471,1.1548,1.1122,5.1869,2.1325,125.9546
10.8045,0.4774,62.3037,1.1552,1.1153,5.5573,2.173,126.7681
10.8186,0.4399,64.6341,1.1569,1.1256,5.2519,2.2989,128.6739
10.8126,0.4594,66.4423,1.1522,1.1104,4.7605,2.1627,130.6664
10.7584,0.4681,68.7029,1.1439,1.0911,4.8923,2.1355,130.5737
10.7533,0.4574,67.7821,1.1417,1.0914,4.865,2.142,129.9969
10.7453,0.439,67.6336,1.1409,1.0955,4.6776,2.1384,129.4899
10.7585,0.4468,64.3861,1.1409,1.0987,4.7569,1.8869999999999998,129.0309
10.6677,0.4641,65.2019,1.1409,1.0986,4.8004,1.2238,128.4456
10.6311,0.4385,66.7999,1.141,1.0974,4.4551,1.1651,127.6343
10.6291,0.4064,64.8679,1.1418,1.0979,4.3849,1.8338,126.6372
10.6202,0.4011,60.6491,1.1438,1.1012,4.6746,2.0993,125.7267
10.6122,0.423,61.451,1.1512,1.1138,5.0443,2.0908,125.1344
10.582,0.4599,61.1128,1.1583,1.1232,5.3166,2.0973,126.09299999999999
10.5871,0.4654,61.583999999999996,1.1601,1.1236,5.3035,2.093,126.7426
10.5901,0.445,64.5313,1.1606,1.1224,5.1629,2.0739,127.4785
10.5892,0.4291,63.5142,1.1597,1.1229,5.4977,2.0723,127.7713
10.585,0.4549,62.0091,1.1576,1.1229,5.9188,2.0853,128.0964
10.6061,0.4961,61.1277,1.1539,1.1204,5.8967,2.1095,128.3582
10.6031,0.5041,63.4029,1.1488,1.1144,5.6582,2.151,128.5677
10.6082,0.4614,68.5095,1.1429,1.1059,5.64,2.2287,128.9177
10.6374,0.4891,64.5364,1.1238,1.0754,5.0394,1.8223,129.8858
10.6302,0.4713,62.6177,1.1249,1.0747,3.8131,2.086,129.0274
10.6382,0.4524,62.8072,1.1282,1.0798,3.5556,2.3218,128.5303
10.6251,0.4474,58.3324,1.1334,1.0901,4.1133,2.1775,128.2625
10.6301,0.4485,55.4406,1.1393,1.1031,4.5961,2.0755,128.0832
10.6331,0.4279,56.8172,1.1445,1.1157,4.7829,2.0852,127.9733
10.6248,0.4092,57.5964,1.1476,1.1251,4.5368,2.1093,128.0188
10.6783,0.4124,56.9455,1.1473,1.128,4.4999,2.1198,128.3328
10.7022,0.4429,59.2832,1.1359,1.1075,4.7956,2.1422,129.7658
10.7213,0.4264,60.9178,1.1267,1.0893,4.7175,2.1494,130.5845
10.7333,0.4027,63.5498,1.1091,1.0692,4.6948,2.135,129.37
10.7416,0.4349,64.2385,1.1117,1.0713,4.7196,2.1415,127.993
10.7425,0.4638,60.3934,1.1144,1.0716,4.501,2.137,126.1763
10.7424,0.4743,55.8183,1.1173,1.0715,4.4827,2.137,124.6942
10.7402,0.4289,50.9108,1.1254,1.0871,5.1314,2.2487,124.0138
10.7956,0.4704,63.9005,1.13,1.1158,4.9938,2.189,126.7389
10.8517,0.4961,62.9774,1.1257,1.1079,4.845,2.1641,128.8943
10.8836,0.4918,60.8733,1.1166,1.0852,4.5485,2.1639,130.572
10.9097,0.4673,61.58,1.1048,1.0613,4.4854,2.1698,131.342
10.9287,0.4647,63.9661,1.083,1.0334,4.7013,2.1577,131.0258
10.9609,0.4671,64.2841,1.0756,1.0265,4.6465,2.1531,130.5864
10.9649,0.4479,62.3852,1.0709,1.0229,4.6556,2.1448,130.1899
10.9618,0.4379,64.6014,1.069,1.0224,5.0007,2.1343,129.6902
10.9678,0.4446,64.6056,1.0698,1.0244,5.1728,2.1349,129.2077
10.9678,0.4388,65.5685,1.0732,1.0285,5.0637,2.1298,128.8302
10.9678,0.4197,63.0799,1.0786,1.0353,4.8748,2.1193,128.6025
10.9875,0.4243,59.2896,1.0851,1.0449,4.8074,2.1204,128.417
11.057,0.4955,68.0393,1.097,1.0621,4.6449,2.1314,127.7215
11.1503,0.4574,64.3488,1.0985,1.0644,4.6525,2.1252,126.6581
11.1514,0.4299,63.6331,1.0952,1.0633,4.4643,2.1279,126.62299999999999
11.1583,0.4103,66.4897,1.0877,1.0608,4.4531,2.126,128.2583
11.1584,0.397,62.7804,1.0844,1.0581,5.0123,2.1277,129.3277
11.1603,0.4082,60.6704,1.0821,1.0545,5.7364,2.1303,129.5737
11.1794,0.4157,59.24,1.0816,1.0519,6.0912,2.142,128.9494
11.2375,0.4332,58.6529,1.101,1.0834,5.1004,2.1383,124.5204
11.2385,0.4099,59.9384,1.114,1.1054,5.3774,2.1064,123.773
11.2364,0.3649,61.5848,1.1266,1.1217,5.7575,2.0896,124.586
11.2535,0.3515,62.8371,1.1359,1.1261,6.0326,2.0879,125.581
